Date,Month Code,Month,QuarterCode,Quarter
2021-05-31,20215,May 2021,20212,2021 Q2
2021-06-30,20216,June 2021,20212,2021 Q2
2021-07-31,20217,July 2021,20213,2021 Q3
2021-08-31,20218,August 2021,20213,2021 Q3
2021-09-30,20219,September 2021,20213,2021 Q3
2021-10-31,202110,October 2021,20214,2021 Q4
2021-11-30,202111,November 2021,20214,2021 Q4
2021-12-31,202112,December 2021,20214,2021 Q4
2022-01-31,20221,January 2022,20221,2022 Q1
2022-02-28,20222,February 2022,20221,2022 Q1
2022-03-31,20223,March 2022,20221,2022 Q1
2022-04-30,20224,April 2022,20222,2022 Q2
2022-05-31,20225,May 2022,20222,2022 Q2
2022-06-30,20226,June 2022,20222,2022 Q2
2022-07-31,20227,July 2022,20223,2022 Q3
2022-08-31,20228,August 2022,20223,2022 Q3
2022-09-30,20229,September 2022,20223,2022 Q3
2022-10-31,202210,October 2022,20224,2022 Q4
2022-11-30,202211,November 2022,20224,2022 Q4
2022-12-31,202212,December 2022,20224,2022 Q4
2023-01-31,20231,January 2023,20231,2023 Q1
2023-02-28,20232,February 2023,20231,2023 Q1
2023-03-31,20233,March 2023,20231,2023 Q1
2023-04-30,20234,April 2023,20232,2023 Q2
2023-05-31,20235,May 2023,20232,2023 Q2
2023-06-30,20236,June 2023,20232,2023 Q2
2023-07-31,20237,July 2023,20233,2023 Q3
2023-08-31,20238,August 2023,20233,2023 Q3
2023-09-30,20239,September 2023,20233,2023 Q3
2023-10-31,202310,October 2023,20234,2023 Q4
2023-11-30,202311,November 2023,20234,2023 Q4
2023-12-31,202312,December 2023,20234,2023 Q4
2024-01-31,20241,January 2024,20241,2024 Q1
2024-02-29,20242,February 2024,20241,2024 Q1
2024-03-31,20243,March 2024,20241,2024 Q1
2024-04-30,20244,April 2024,20242,Current Quarter Data
